# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: MMT UV36                      "
# "DATE: "" 7/26/91"   "TIME: ""14:45: 6"
# " CWL= "  4476.40A  "FWHM= "  206.71A  "TMAX= "***** %
# "TCUTOFF= " 2.00 %   SLIT = 10.0 A
# 
# "ERRMS2: DATA NEVER REACHES HI WAVELENGTH %T CUTOFF"   
# "ERRMS3: CENTRAL WAVELENGTH & FWHM CANNOT BE CALCULATED"         
# 
# "NPTS= " 901     "DISP= "10.0000A/INTERVAL
   7580.00    98.425
   7590.00    98.380
   7600.00    98.345
   7610.00    98.330
   7620.00    98.305
   7630.00    98.285
   7640.00    98.220
   7650.00    98.240
   7660.00    98.290
   7670.00    98.235
   7680.00    98.325
   7690.00    98.175
   7700.00    98.235
   7710.00    98.240
   7720.00    98.165
   7730.00    98.065
   7740.00    98.160
   7750.00    98.125
   7760.00    98.125
   7770.00    98.070
   7780.00    98.065
   7790.00    98.030
   7800.00    98.225
   7810.00    97.980
   7820.00    98.070
   7830.00    98.055
   7840.00    97.995
   7850.00    97.960
   7860.00    97.885
   7870.00    97.715
   7880.00    97.890
   7890.00    97.890
   7900.00    97.910
   7910.00    97.845
   7920.00    97.940
   7930.00    97.690
   7940.00    97.910
   7950.00    97.890
   7960.00    97.825
   7970.00    97.915
   7980.00    97.665
   7990.00    97.855
   8000.00    97.660
   8010.00    97.745
   8020.00    97.690
   8030.00    97.760
   8040.00    97.615
   8050.00    97.700
   8060.00    97.615
   8070.00    97.600
   8080.00    97.545
   8090.00    97.595
   8100.00    97.625
   8110.00    97.795
   8120.00    97.560
   8130.00    97.645
   8140.00    97.640
   8150.00    97.465
   8160.00    97.430
   8170.00    97.635
   8180.00    97.470
   8190.00    97.705
   8200.00    97.580
   8210.00    97.520
   8220.00    97.480
   8230.00    97.335
   8240.00    97.600
   8250.00    97.370
   8260.00    97.435
   8270.00    97.390
   8280.00    97.380
   8290.00    97.505
   8300.00    97.525
   8310.00    97.470
   8320.00    97.305
   8330.00    97.310
   8340.00    97.345
   8350.00    97.390
   8360.00    97.340
   8370.00    97.470
   8380.00    97.145
   8390.00    97.390
   8400.00    97.460
   8410.00    97.360
   8420.00    97.275
   8430.00    97.280
   8440.00    97.180
   8450.00    97.480
   8460.00    97.415
   8470.00    97.210
   8480.00    97.180
   8490.00    96.980
   8500.00    97.240
   8510.00    97.305
   8520.00    97.180
   8530.00    96.900
   8540.00    97.035
   8550.00    96.920
   8560.00    97.050
   8570.00    96.760
   8580.00    97.040
   8590.00    96.945
   8600.00    97.140
   8610.00    98.865
   8620.00    98.850
   8630.00    98.765
   8640.00    98.855
   8650.00    98.830
   8660.00    98.785
   8670.00    98.700
   8680.00    98.770
   8690.00    98.725
   8700.00    98.675
   8710.00    98.640
   8720.00    98.605
   8730.00    98.590
   8740.00    98.545
   8750.00    98.520
   8760.00    98.495
   8770.00    98.490
   8780.00    98.415
   8790.00    98.450
   8800.00    98.455
   8810.00    98.400
   8820.00    98.440
   8830.00    98.360
   8840.00    98.360
   8850.00    98.275
   8860.00    98.375
   8870.00    98.285
   8880.00    98.160
   8890.00    98.165
   8900.00    98.175
   8910.00    98.120
   8920.00    98.035
   8930.00    98.050
   8940.00    97.990
   8950.00    97.950
   8960.00    97.935
   8970.00    97.920
   8980.00    97.900
   8990.00    97.840
   9000.00    97.855
   9010.00    97.855
   9020.00    97.750
   9030.00    97.840
   9040.00    97.835
   9050.00    97.740
   9060.00    97.760
   9070.00    97.780
   9080.00    97.820
   9090.00    97.670
   9100.00    97.650
   9110.00    97.670
   9120.00    97.620
   9130.00    97.565
   9140.00    97.585
   9150.00    97.525
   9160.00    97.495
   9170.00    97.410
   9180.00    97.485
   9190.00    97.450
   9200.00    97.370
   9210.00    97.345
   9220.00    97.380
   9230.00    97.345
   9240.00    97.335
   9250.00    97.325
   9260.00    97.380
   9270.00    97.295
   9280.00    97.245
   9290.00    97.215
   9300.00    97.310
   9310.00    97.240
   9320.00    97.225
   9330.00    97.155
   9340.00    97.125
   9350.00    97.140
   9360.00    97.100
   9370.00    97.125
   9380.00    97.125
   9390.00    97.065
   9400.00    97.140
   9410.00    97.100
   9420.00    97.025
   9430.00    97.030
   9440.00    97.010
   9450.00    96.990
   9460.00    96.980
   9470.00    97.035
   9480.00    96.985
   9490.00    96.945
   9500.00    96.955
   9510.00    96.960
   9520.00    96.980
   9530.00    96.995
   9540.00    96.940
   9550.00    96.950
   9560.00    96.890
   9570.00    96.915
   9580.00    96.880
   9590.00    96.780
   9600.00    96.855
   9610.00    96.790
   9620.00    96.815
   9630.00    96.755
   9640.00    96.760
   9650.00    96.805
   9660.00    96.755
   9670.00    96.755
   9680.00    96.705
   9690.00    96.725
   9700.00    96.710
   9710.00    96.715
   9720.00    96.735
   9730.00    96.780
   9740.00    96.775
   9750.00    96.630
   9760.00    96.675
   9770.00    96.615
   9780.00    96.690
   9790.00    96.655
   9800.00    96.580
   9810.00    96.615
   9820.00    96.535
   9830.00    96.595
   9840.00    96.665
   9850.00    96.585
   9860.00    96.480
   9870.00    96.585
   9880.00    96.535
   9890.00    96.550
   9900.00    96.525
   9910.00    96.575
   9920.00    96.515
   9930.00    96.480
   9940.00    96.485
   9950.00    96.510
   9960.00    96.460
   9970.00    96.495
   9980.00    96.465
   9990.00    96.485
  10000.00    96.390
  10010.00    96.420
  10020.00    96.400
  10030.00    96.380
  10040.00    96.350
  10050.00    96.350
  10060.00    96.405
  10070.00    96.340
  10080.00    96.275
  10090.00    96.375
  10100.00    96.350
  10110.00    96.310
  10120.00    96.325
  10130.00    96.335
  10140.00    96.275
  10150.00    96.210
  10160.00    96.295
  10170.00    96.220
  10180.00    96.205
  10190.00    96.165
  10200.00    96.265
  10210.00    96.240
  10220.00    96.135
  10230.00    96.195
  10240.00    96.140
  10250.00    96.080
  10260.00    96.105
  10270.00    96.190
  10280.00    96.180
  10290.00    96.050
  10300.00    96.115
  10310.00    96.080
  10320.00    96.050
  10330.00    96.015
  10340.00    96.040
  10350.00    96.075
  10360.00    96.055
  10370.00    96.025
  10380.00    96.030
  10390.00    95.950
  10400.00    96.015
  10410.00    95.970
  10420.00    96.015
  10430.00    96.005
  10440.00    95.995
  10450.00    95.995
  10460.00    95.960
  10470.00    95.990
  10480.00    95.935
  10490.00    95.940
  10500.00    95.880
  10510.00    95.885
  10520.00    95.900
  10530.00    95.905
  10540.00    95.920
  10550.00    95.885
  10560.00    95.830
  10570.00    95.900
  10580.00    95.855
  10590.00    95.770
  10600.00    95.870
  10610.00    95.885
  10620.00    95.820
  10630.00    95.885
  10640.00    95.830
  10650.00    95.835
  10660.00    95.730
  10670.00    95.825
  10680.00    95.845
  10690.00    95.740
  10700.00    95.765
  10710.00    95.705
  10720.00    95.735
  10730.00    95.685
  10740.00    95.790
  10750.00    95.680
  10760.00    95.680
  10770.00    95.685
  10780.00    95.705
  10790.00    95.695
  10800.00    95.615
  10810.00    95.700
  10820.00    95.665
  10830.00    95.695
  10840.00    95.645
  10850.00    95.655
  10860.00    95.640
  10870.00    95.605
  10880.00    95.655
  10890.00    95.575
  10900.00    95.605
  10910.00    95.555
  10920.00    95.595
  10930.00    95.655
  10940.00    95.590
  10950.00    95.565
  10960.00    95.580
  10970.00    95.540
  10980.00    95.575
  10990.00    95.550
  11000.00    95.555
  11010.00    95.545
  11020.00    95.485
  11030.00    95.525
  11040.00    95.500
  11050.00    95.450
  11060.00    95.465
  11070.00    95.490
  11080.00    95.455
  11090.00    95.405
  11100.00    95.455
  11110.00    95.440
  11120.00    95.375
  11130.00    95.410
  11140.00    95.420
  11150.00    95.385
  11160.00    95.370
  11170.00    95.405
  11180.00    95.400
  11190.00    95.335
  11200.00    95.320
  11210.00    95.360
  11220.00    95.355
  11230.00    95.345
  11240.00    95.310
  11250.00    95.315
  11260.00    95.300
  11270.00    95.285
  11280.00    95.385
  11290.00    95.375
  11300.00    95.285
  11310.00    95.295
  11320.00    95.315
  11330.00    95.300
  11340.00    95.290
  11350.00    95.225
  11360.00    95.195
  11370.00    95.275
  11380.00    95.245
  11390.00    95.280
  11400.00    95.205
  11410.00    95.315
  11420.00    95.250
  11430.00    95.230
  11440.00    95.235
  11450.00    95.225
  11460.00    95.190
  11470.00    95.195
  11480.00    95.205
  11490.00    95.130
  11500.00    95.215
  11510.00    95.205
  11520.00    95.205
  11530.00    95.210
  11540.00    95.135
  11550.00    95.175
  11560.00    95.150
  11570.00    95.180
  11580.00    95.150
  11590.00    95.180
  11600.00    95.090
  11610.00    95.140
  11620.00    95.130
  11630.00    95.075
  11640.00    95.085
  11650.00    95.110
  11660.00    95.095
  11670.00    95.010
  11680.00    95.000
  11690.00    95.020
  11700.00    95.045
  11710.00    95.020
  11720.00    94.990
  11730.00    94.945
  11740.00    95.005
  11750.00    94.905
  11760.00    95.010
  11770.00    94.970
  11780.00    94.930
  11790.00    94.965
  11800.00    95.005
  11810.00    95.010
  11820.00    94.985
  11830.00    95.035
  11840.00    94.925
  11850.00    94.960
  11860.00    94.955
  11870.00    94.930
  11880.00    94.935
  11890.00    94.850
  11900.00    94.740
  11910.00    94.520
  11920.00    94.590
  11930.00    94.600
  11940.00    94.555
  11950.00    94.560
  11960.00    94.575
  11970.00    94.545
  11980.00    94.575
  11990.00    94.610
  12000.00    94.475
